,Year,Date,Municipality,Municipality_name,TotArea,Hectares,Month,Day,FWI,FWI_index
125,2000,2000-06-23,1082,Karlshamn,1000,0.1,6,23,4.116666666666666,2.0
126,2000,2000-06-23,380,Uppsala,2,0.0002,6,23,8.663157894736841,2.6842105263157894
127,2000,2000-06-23,127,Botkyrka,2,0.0002,6,23,6.6,2.0
128,2000,2000-06-26,182,Nacka,3,0.0003,6,26,2.7,2.0
129,2000,2000-06-27,563,Valdemarsvik,15,0.0015,6,27,3.5625,2.0
130,2000,2000-07-04,582,Söderköping,1,0.0001,7,4,9.314285714285715,3.0
131,2000,2000-07-05,1480,Göteborg,1,0.0001,7,5,6.619999999999999,2.2
132,2000,2000-07-08,881,Nybro,4,0.0004,7,8,8.85,3.0
133,2000,2000-07-09,1480,Göteborg,1,0.0001,7,9,0.32,1.0
134,2000,2000-07-10,182,Nacka,1,0.0001,7,10,9.8,3.0
135,2000,2000-07-10,513,Kinda,250,0.025,7,10,5.26,2.1
136,2000,2000-07-15,685,Vetlanda,10,0.001,7,15,4.7615384615384615,1.9230769230769231
137,2000,2000-07-19,684,Sävsjö,7,0.0007,7,19,0.0,1.0
138,2000,2000-07-21,1380,Halmstad,25,0.0025,7,21,1.7100000000000002,1.7
139,2000,2000-07-25,2580,Luleå,4,0.0004,7,25,2.042857142857143,1.7142857142857142
140,2000,2000-07-27,1380,Halmstad,30,0.003,7,27,1.4300000000000002,1.4
141,2000,2000-07-29,1462,Lilla Edet,20,0.002,7,29,0.75,1.0
142,2000,2000-08-04,180,Stockholm,10,0.001,8,4,2.95,2.0
143,2000,2000-08-04,1383,Varberg,50,0.005,8,4,2.1083333333333334,1.8333333333333333
144,2000,2000-08-05,1485,Uddevalla,3,0.0003,8,5,9.425,2.75
145,2000,2000-08-10,2062,Mora,1,0.0001,8,10,6.708333333333333,2.375
146,2000,2000-08-10,180,Stockholm,2,0.0002,8,10,12.0,3.0
147,2000,2000-08-12,1480,Göteborg,4,0.0004,8,12,0.6599999999999999,1.0
148,2000,2000-08-13,127,Botkyrka,2,0.0002,8,13,5.9,2.0
149,2000,2000-08-15,181,Södertälje,1,0.0001,8,15,2.54,2.0
150,2000,2000-08-17,1290,Kristianstad,15,0.0015,8,17,5.9,2.0
151,2000,2000-08-18,780,Växjö,20,0.002,8,18,6.55,2.357142857142857
152,2000,2000-08-19,1480,Göteborg,1,0.0001,8,19,2.08,2.0
153,2000,2000-08-21,1480,Göteborg,4,0.0004,8,21,4.46,2.0
154,2000,2000-08-22,182,Nacka,15,0.0015,8,22,8.5,3.0
155,2000,2000-08-23,683,Värnamo,80,0.008,8,23,3.5727272727272723,2.0
156,2000,2000-08-25,480,Nyköping,150,0.015,8,25,6.608333333333333,2.25
157,2000,2000-08-25,180,Stockholm,1,0.0001,8,25,11.399999999999999,3.0
158,2000,2000-08-26,2463,Åsele,3,0.0003,8,26,2.6666666666666665,2.0
159,2000,2000-08-26,1480,Göteborg,1,0.0001,8,26,1.06,1.2
160,2000,2000-08-26,686,Eksjö,20,0.002,8,26,1.8,1.875
161,2000,2000-08-27,484,Eskilstuna,1,0.0001,8,27,14.950000000000001,3.0
162,2000,2000-08-27,562,Finspång,250,0.025,8,27,12.455555555555556,3.0
163,2000,2000-08-28,181,Södertälje,1,0.0001,8,28,12.14,3.0
164,2000,2000-08-28,685,Vetlanda,30,0.003,8,28,7.492307692307692,2.8461538461538463
165,2000,2000-08-30,781,Ljungby,60,0.006,8,30,0.08823529411764706,1.0
166,2000,2000-08-31,1280,Malmö,1,0.0001,8,31,3.8000000000000003,2.0
167,2000,2000-09-01,560,Boxholm,2,0.0002,9,1,0.7166666666666667,1.0
168,2000,2000-09-03,2080,Falun,50,0.005,9,3,4.563157894736842,2.1052631578947367
169,2000,2000-09-04,2281,Sundsvall,5525,0.5525,9,4,9.066666666666666,2.727272727272727
170,2000,2000-09-05,1287,Trelleborg,1000,0.1,9,5,0.6599999999999999,1.0
171,2000,2000-09-05,136,Haninge,2,0.0002,9,5,2.7333333333333334,2.0
172,2000,2000-09-05,2421,Storuman,600,0.06,9,5,3.325714285714286,1.7714285714285714
173,2000,2000-09-06,180,Stockholm,3,0.0003,9,6,7.6,2.5
174,2000,2000-09-07,2518,Övertorneå,3,0.0003,9,7,9.755555555555555,3.0
175,2000,2000-09-07,180,Stockholm,1,0.0001,9,7,7.6,2.5
176,2000,2000-09-09,188,Norrtälje,4,0.0004,9,9,10.243478260869566,2.8260869565217392
177,2000,2000-09-09,780,Växjö,100,0.01,9,9,5.042857142857143,2.0
178,2000,2000-09-09,2034,Orsa,1800,0.18,9,9,5.71875,2.3125
179,2000,2000-09-10,380,Uppsala,300,0.03,9,10,11.989473684210527,3.0
180,2000,2000-09-10,126,Huddinge,10,0.001,9,10,10.4,3.0
181,2000,2000-09-11,1882,Askersund,25,0.0025,9,11,8.577777777777778,3.0
182,2000,2000-09-11,127,Botkyrka,1,0.0001,9,11,11.6,3.0
